
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-4-23,29,22,14,4,1,-5,47,29,11,1018,1014,1011,16,16,16,56,16,77,0.00,3,,90<br />
2012-4-24,31,22,13,1,-2,-6,39,24,9,1014,1010,1007,16,16,16,32,7,39,0.00,1,,352<br />
2012-4-25,30,22,13,-2,-6,-9,27,18,8,1013,1011,1009,16,16,14,34,11,42,0.00,3,,188<br />
2012-4-26,31,21,11,3,-1,-8,47,28,8,1015,1008,1000,16,12,2,89,22,121,T,5,,239<br />
2012-4-27,24,17,9,1,-1,-3,50,34,17,1015,1009,1006,16,16,16,42,19,60,0.00,2,,289<br />
2012-4-28,23,16,8,4,-2,-6,45,31,16,1015,1009,1006,16,16,14,52,11,64,T,6,Rain-Thunderstorm,12<br />
2012-4-29,26,20,13,2,-2,-11,43,26,8,1011,1008,1006,16,16,16,29,12,40,T,4,Rain,319<br />
2012-4-30,27,19,11,-5,-8,-11,25,18,10,1013,1010,1006,16,16,16,26,7,35,0.00,1,,28<br />
2012-5-1,29,20,11,-2,-6,-9,35,22,9,1010,1006,1002,16,16,16,40,16,53,0.00,2,,226<br />
2012-5-2,27,19,11,-6,-9,-12,26,18,9,1009,1007,1005,16,16,16,34,11,47,0.00,2,,173<br />
2012-5-3,28,19,11,-4,-8,-14,28,18,8,1013,1010,1007,16,16,16,26,9,29,0.00,1,,162<br />
2012-5-4,29,21,12,-4,-7,-12,26,17,7,1014,1011,1007,16,16,16,27,10,34,0.00,0,,185<br />
2012-5-5,29,21,12,-7,-9,-12,23,15,6,1015,1009,1005,16,16,16,35,12,48,0.00,3,,257<br />
2012-5-6,28,20,12,1,-8,-14,26,16,6,1012,1009,1007,16,16,16,45,15,53,0.00,4,,180<br />
2012-5-7,22,16,11,8,4,1,62,46,29,1014,1010,1008,16,16,11,71,47,87,0.00,4,,99<br />
2012-5-8,21,15,9,4,3,2,56,44,32,1021,1016,1014,16,16,16,58,25,66,0.00,6,,111<br />
2012-5-9,24,17,11,6,3,-2,64,42,20,1020,1015,1010,16,16,13,42,14,58,0.00,5,,112<br />
2012-5-10,26,17,8,7,3,-1,71,45,18,1013,1008,1003,16,16,16,63,7,74,0.00,5,,125<br />
2012-5-11,27,19,11,8,6,3,66,44,21,1019,1011,1007,16,15,6,71,22,84,4.83,5,Rain-Hail-Thunderstorm,74<br />
2012-5-12,24,18,12,8,6,1,77,51,25,1022,1019,1016,16,16,14,56,20,72,T,3,Rain-Thunderstorm,84<br />
2012-5-13,21,17,12,7,5,1,66,49,31,1025,1019,1016,16,16,16,47,12,60,T,6,Rain-Thunderstorm,26<br />
2012-5-14,22,16,9,5,4,1,77,52,27,1024,1020,1017,16,16,16,48,16,58,0.00,2,,62<br />
2012-5-15,27,18,10,6,0,-7,68,40,12,1022,1018,1015,16,16,16,27,9,32,0.00,1,,144<br />
2012-5-16,27,20,13,3,-2,-7,35,23,10,1019,1015,1010,16,16,16,34,15,42,0.00,2,,197<br />
2012-5-17,31,24,16,-1,-8,-12,27,16,5,1012,1008,1003,16,16,16,29,19,52,0.00,2,,219<br />
2012-5-18,29,21,13,-6,-8,-10,22,15,7,1014,1004,999,16,16,11,56,18,93,0.00,4,,200<br />
2012-5-19,28,19,11,-6,-8,-10,26,17,8,1011,1009,1005,16,16,16,40,10,52,0.00,0,,200<br />
2012-5-20,28,21,14,6,2,-8,55,32,9,1021,1015,1012,16,16,16,48,23,61,0.00,1,,103<br />
2012-5-21,32,24,16,10,5,-2,65,39,13,1020,1015,1010,16,16,14,40,14,45,0.00,1,,131<br />
2012-5-22,33,26,18,8,-3,-14,48,27,5,1020,1008,1002,16,16,16,39,15,50,0.00,2,,195<br />
2012-5-23,34,25,16,-8,-12,-16,16,10,4,1011,999,994,16,16,16,56,24,69,0.00,1,,233<br />
2012-5-24,31,25,19,0,-4,-9,22,16,9,1000,998,995,16,16,14,45,23,56,0.00,0,,247<br />
2012-5-25,32,24,16,-3,-8,-12,25,15,5,1004,1002,1000,16,14,6,48,21,63,0.00,3,,164<br />
2012-5-26,32,23,14,-4,-8,-12,19,13,6,1013,1004,1000,16,14,8,69,31,87,0.00,3,,191<br />
2012-5-27,26,19,12,-6,-18,-27,19,11,2,1017,1009,1006,16,16,16,48,18,56,0.00,2,,297<br />
2012-5-28,28,19,10,-9,-13,-16,19,12,5,1015,1012,1010,16,16,16,24,6,47,0.00,0,,274<br />
2012-5-29,31,21,11,-8,-12,-16,19,12,4,1019,1011,1008,16,16,11,26,9,35,0.00,0,,273<br />
2012-5-30,32,23,14,-12,-15,-18,14,9,3,1011,1008,1006,16,16,16,35,12,42,0.00,0,,339<br />
2012-5-31,32,23,14,5,-2,-16,31,19,6,1019,1009,1006,16,16,14,52,16,60,0.00,1,,129<br />
2012-6-1,35,26,17,9,3,-4,45,27,8,1015,1007,1003,16,16,11,35,12,48,0.00,2,Thunderstorm,184<br />
2012-6-2,35,28,21,6,-4,-13,36,21,5,1012,1005,1002,16,16,16,39,14,50,0.00,4,,237<br />
2012-6-3,34,26,16,-3,-9,-12,15,10,5,1016,1008,1005,16,16,14,27,9,32,0.00,3,,122<br />
2012-6-4,32,26,19,7,3,-1,40,28,15,1018,1010,1007,16,16,11,64,20,72,0.25,5,Rain-Thunderstorm,85<br />
2012-6-5,31,24,17,8,4,-2,56,35,13,1012,1008,1003,16,16,16,37,14,47,0.00,4,,101<br />
2012-6-6,33,25,17,9,-2,-10,52,29,6,1014,1006,1002,16,16,16,27,10,34,0.00,1,,146<br />
2012-6-7,33,26,17,6,-7,-12,33,19,5,1010,1007,1005,16,16,16,23,9,32,0.00,1,,166<br />
2012-6-8,34,26,18,9,-6,-14,44,24,4,1017,1007,1002,16,16,14,21,7,29,0.00,0,,127<br />
2012-6-9,35,27,18,-9,-13,-18,13,8,3,1014,1003,998,16,16,16,47,17,56,0.00,1,,239<br />
2012-6-10,33,25,17,-4,-8,-12,14,10,6,1013,1005,1003,16,16,16,39,14,48,0.00,1,,254<br />
